IP,DNS,NetBIOS,OS,IP Status,QID,Title,Type,Severity,Port,Protocol,FQDN,SSL,CVE ID,Vendor Reference,Bugtraq ID,CVSS Base,CVSS Temporal,CVSS3.1 Base,CVSS3.1 Temporal,CVSS4 Base,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Instance,Category
10.30.18.37,asset-017.corp.local,ASSET-017,Windows Server 2019,Active,300097,SMB Signing Not Required,Confirmed Vulnerability,5,445,tcp,asset-017.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95097,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,Exploit code is available,No,SMB Signing Not Required detected on 10.30.18.37:445.,Yes,tcp/445,Windows
10.30.10.38,asset-018.corp.local,ASSET-018,Ubuntu 22.04,Active,300098,Oracle Java Unsupported Version,Confirmed Vulnerability,4,0,tcp,asset-018.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95098,7.5,7.5,8.1,8.1,8.0,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Exploit code is available,No,Oracle Java Unsupported Version detected on 10.30.10.38:0.,Yes,tcp/0,General
10.30.11.39,asset-019.corp.local,ASSET-019,RHEL 8,Active,300099,Linux Kernel Security Update Available,Confirmed Vulnerability,3,0,tcp,asset-019.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95099,5.0,5.0,6.5,6.5,6.2,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Linux Kernel Security Update Available detected on 10.30.11.39:0.,No,tcp/0,Linux
10.30.12.40,asset-020.corp.local,ASSET-020,Network Appliance,Active,300100,TLS 1.0 Protocol Detection,Confirmed Vulnerability,2,443,tcp,asset-020.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95100,2.6,2.6,3.7,3.7,3.5,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",No known exploit,No,TLS 1.0 Protocol Detection detected on 10.30.12.40:443.,No,tcp/443,SSL
10.30.13.41,asset-021.corp.local,ASSET-021,Windows Server 2019,Active,300101,Apache Tomcat AJP Request Injection,Confirmed Vulnerability,5,8009,tcp,asset-021.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95101,9.0,9.0,9.8,9.8,9.4,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Apache Tomcat AJP Request Injection detected on 10.30.13.41:8009.,Yes,tcp/8009,Web Application
10.30.14.42,asset-022.corp.local,ASSET-022,Ubuntu 22.04,Active,300102,Apache Log4j Remote Code Execution,Confirmed Vulnerability,4,8080,tcp,asset-022.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95102,7.5,7.5,8.1,8.1,8.0,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Apache Log4j Remote Code Execution detected on 10.30.14.42:8080.,Yes,tcp/8080,Web Application
10.30.15.43,asset-023.corp.local,ASSET-023,RHEL 8,Active,300103,Microsoft SQL Server Unsupported Version,Confirmed Vulnerability,3,1433,tcp,asset-023.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95103,5.0,5.0,6.5,6.5,6.2,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,No known exploit,No,Microsoft SQL Server Unsupported Version detected on 10.30.15.43:1433.,No,tcp/1433,Database
10.30.16.44,asset-024.corp.local,ASSET-024,Network Appliance,Active,300104,OpenSSL Security Update Available,Confirmed Vulnerability,2,443,tcp,asset-024.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95104,2.6,2.6,3.7,3.7,3.5,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,OpenSSL Security Update Available detected on 10.30.16.44:443.,No,tcp/443,SSL
10.30.17.45,asset-025.corp.local,ASSET-025,Windows Server 2019,Active,300105,Remote Desktop Weak Encryption Enabled,Confirmed Vulnerability,5,3389,tcp,asset-025.corp.local,No,,https://www.qualys.com/research/security-alerts/,95105,9.0,9.0,9.8,9.8,9.4,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Remote Desktop Weak Encryption Enabled detected on 10.30.17.45:3389.,Yes,tcp/3389,Windows
10.30.18.46,asset-026.corp.local,ASSET-026,Ubuntu 22.04,Active,300106,Nginx Security Update Available,Confirmed Vulnerability,4,443,tcp,asset-026.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95106,7.5,7.5,8.1,8.1,8.0,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Nginx Security Update Available detected on 10.30.18.46:443.,Yes,tcp/443,Web Server
10.30.10.47,asset-027.corp.local,ASSET-027,RHEL 8,Active,300107,SMB Signing Not Required,Confirmed Vulnerability,3,445,tcp,asset-027.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95107,5.0,5.0,6.5,6.5,6.2,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,No known exploit,No,SMB Signing Not Required detected on 10.30.10.47:445.,No,tcp/445,Windows
10.30.11.48,asset-028.corp.local,ASSET-028,Network Appliance,Active,300108,Oracle Java Unsupported Version,Confirmed Vulnerability,2,0,tcp,asset-028.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95108,2.6,2.6,3.7,3.7,3.5,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,No known exploit,No,Oracle Java Unsupported Version detected on 10.30.11.48:0.,No,tcp/0,General
10.30.12.49,asset-029.corp.local,ASSET-029,Windows Server 2019,Active,300109,Linux Kernel Security Update Available,Confirmed Vulnerability,5,0,tcp,asset-029.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95109,9.0,9.0,9.8,9.8,9.4,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Linux Kernel Security Update Available detected on 10.30.12.49:0.,Yes,tcp/0,Linux
10.30.13.50,asset-030.corp.local,ASSET-030,Ubuntu 22.04,Active,300110,TLS 1.0 Protocol Detection,Confirmed Vulnerability,4,443,tcp,asset-030.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95110,7.5,7.5,8.1,8.1,8.0,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",Exploit code is available,Yes,TLS 1.0 Protocol Detection detected on 10.30.13.50:443.,Yes,tcp/443,SSL
10.30.14.51,asset-031.corp.local,ASSET-031,RHEL 8,Active,300111,Apache Tomcat AJP Request Injection,Confirmed Vulnerability,3,8009,tcp,asset-031.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95111,5.0,5.0,6.5,6.5,6.2,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,No,tcp/8009,Web Application
10.30.15.52,asset-032.corp.local,ASSET-032,Network Appliance,Active,300112,Apache Log4j Remote Code Execution,Confirmed Vulnerability,2,8080,tcp,asset-032.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95112,2.6,2.6,3.7,3.7,3.5,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,No,tcp/8080,Web Application
10.30.16.53,asset-033.corp.local,ASSET-033,Windows Server 2019,Active,300113,Microsoft SQL Server Unsupported Version,Confirmed Vulnerability,5,1433,tcp,asset-033.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95113,9.0,9.0,9.8,9.8,9.4,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Exploit code is available,No,Microsoft SQL Server Unsupported Version detected on 10.30.16.53:1433.,Yes,tcp/1433,Database
10.30.17.54,asset-034.corp.local,ASSET-034,Ubuntu 22.04,Active,300114,OpenSSL Security Update Available,Confirmed Vulnerability,4,443,tcp,asset-034.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95114,7.5,7.5,8.1,8.1,8.0,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,OpenSSL Security Update Available detected on 10.30.17.54:443.,Yes,tcp/443,SSL
10.30.18.55,asset-035.corp.local,ASSET-035,RHEL 8,Active,300115,Remote Desktop Weak Encryption Enabled,Confirmed Vulnerability,3,3389,tcp,asset-035.corp.local,No,,https://www.qualys.com/research/security-alerts/,95115,5.0,5.0,6.5,6.5,6.2,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Remote Desktop Weak Encryption Enabled detected on 10.30.18.55:3389.,No,tcp/3389,Windows
10.30.10.56,asset-036.corp.local,ASSET-036,Network Appliance,Active,300116,Nginx Security Update Available,Confirmed Vulnerability,2,443,tcp,asset-036.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95116,2.6,2.6,3.7,3.7,3.5,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Nginx Security Update Available detected on 10.30.10.56:443.,No,tcp/443,Web Server
10.30.11.57,asset-037.corp.local,ASSET-037,Windows Server 2019,Active,300117,SMB Signing Not Required,Confirmed Vulnerability,5,445,tcp,asset-037.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95117,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,No known exploit,No,SMB Signing Not Required detected on 10.30.11.57:445.,Yes,tcp/445,Windows
10.30.12.58,asset-038.corp.local,ASSET-038,Ubuntu 22.04,Active,300118,Oracle Java Unsupported Version,Confirmed Vulnerability,4,0,tcp,asset-038.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95118,7.5,7.5,8.1,8.1,8.0,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Exploit code is available,No,Oracle Java Unsupported Version detected on 10.30.12.58:0.,Yes,tcp/0,General
10.30.13.59,asset-039.corp.local,ASSET-039,RHEL 8,Active,300119,Linux Kernel Security Update Available,Confirmed Vulnerability,3,0,tcp,asset-039.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95119,5.0,5.0,6.5,6.5,6.2,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Linux Kernel Security Update Available detected on 10.30.13.59:0.,No,tcp/0,Linux
10.30.14.60,asset-040.corp.local,ASSET-040,Network Appliance,Active,300120,TLS 1.0 Protocol Detection,Confirmed Vulnerability,2,443,tcp,asset-040.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95120,2.6,2.6,3.7,3.7,3.5,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",No known exploit,No,TLS 1.0 Protocol Detection detected on 10.30.14.60:443.,No,tcp/443,SSL
10.30.11.21,asset-001.corp.local,ASSET-001,Windows Server 2019,Active,300121,Apache Tomcat AJP Request Injection,Confirmed Vulnerability,5,8009,tcp,asset-001.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95121,9.0,9.0,9.8,9.8,9.4,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Apache Tomcat AJP Request Injection detected on 10.30.11.21:8009.,Yes,tcp/8009,Web Application
10.30.12.22,asset-002.corp.local,ASSET-002,Ubuntu 22.04,Active,300122,Apache Log4j Remote Code Execution,Confirmed Vulnerability,4,8080,tcp,asset-002.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95122,7.5,7.5,8.1,8.1,8.0,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,Apache Log4j Remote Code Execution detected on 10.30.12.22:8080.,Yes,tcp/8080,Web Application
10.30.13.23,asset-003.corp.local,ASSET-003,RHEL 8,Active,300123,Microsoft SQL Server Unsupported Version,Confirmed Vulnerability,3,1433,tcp,asset-003.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95123,5.0,5.0,6.5,6.5,6.2,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,No known exploit,No,Microsoft SQL Server Unsupported Version detected on 10.30.13.23:1433.,No,tcp/1433,Database
10.30.14.24,asset-004.corp.local,ASSET-004,Network Appliance,Active,300124,OpenSSL Security Update Available,Confirmed Vulnerability,2,443,tcp,asset-004.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95124,2.6,2.6,3.7,3.7,3.5,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,OpenSSL Security Update Available detected on 10.30.14.24:443.,No,tcp/443,SSL
10.30.15.25,asset-005.corp.local,ASSET-005,Windows Server 2019,Active,300125,Remote Desktop Weak Encryption Enabled,Confirmed Vulnerability,5,3389,tcp,asset-005.corp.local,No,,https://www.qualys.com/research/security-alerts/,95125,9.0,9.0,9.8,9.8,9.4,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,Yes,Remote Desktop Weak Encryption Enabled detected on 10.30.15.25:3389.,Yes,tcp/3389,Windows
10.30.16.26,asset-006.corp.local,ASSET-006,Ubuntu 22.04,Active,300126,Nginx Security Update Available,Confirmed Vulnerability,4,443,tcp,asset-006.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95126,7.5,7.5,8.1,8.1,8.0,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Nginx Security Update Available detected on 10.30.16.26:443.,Yes,tcp/443,Web Server
10.30.17.27,asset-007.corp.local,ASSET-007,RHEL 8,Active,300127,SMB Signing Not Required,Confirmed Vulnerability,3,445,tcp,asset-007.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95127,5.0,5.0,6.5,6.5,6.2,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,No known exploit,No,SMB Signing Not Required detected on 10.30.17.27:445.,No,tcp/445,Windows
10.30.18.28,asset-008.corp.local,ASSET-008,Network Appliance,Active,300128,Oracle Java Unsupported Version,Confirmed Vulnerability,2,0,tcp,asset-008.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95128,2.6,2.6,3.7,3.7,3.5,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,No known exploit,No,Oracle Java Unsupported Version detected on 10.30.18.28:0.,No,tcp/0,General
10.30.10.29,asset-009.corp.local,ASSET-009,Windows Server 2019,Active,300129,Linux Kernel Security Update Available,Confirmed Vulnerability,5,0,tcp,asset-009.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95129,9.0,9.0,9.8,9.8,9.4,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Linux Kernel Security Update Available detected on 10.30.10.29:0.,Yes,tcp/0,Linux
10.30.11.30,asset-010.corp.local,ASSET-010,Ubuntu 22.04,Active,300130,TLS 1.0 Protocol Detection,Confirmed Vulnerability,4,443,tcp,asset-010.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95130,7.5,7.5,8.1,8.1,8.0,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",Exploit code is available,Yes,TLS 1.0 Protocol Detection detected on 10.30.11.30:443.,Yes,tcp/443,SSL
10.30.12.31,asset-011.corp.local,ASSET-011,RHEL 8,Active,300131,Apache Tomcat AJP Request Injection,Confirmed Vulnerability,3,8009,tcp,asset-011.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95131,5.0,5.0,6.5,6.5,6.2,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Apache Tomcat AJP Request Injection detected on 10.30.12.31:8009.,No,tcp/8009,Web Application
10.30.13.32,asset-012.corp.local,ASSET-012,Network Appliance,Active,300132,Apache Log4j Remote Code Execution,Confirmed Vulnerability,2,8080,tcp,asset-012.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95132,2.6,2.6,3.7,3.7,3.5,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Apache Log4j Remote Code Execution detected on 10.30.13.32:8080.,No,tcp/8080,Web Application
10.30.14.33,asset-013.corp.local,ASSET-013,Windows Server 2019,Active,300133,Microsoft SQL Server Unsupported Version,Confirmed Vulnerability,5,1433,tcp,asset-013.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95133,9.0,9.0,9.8,9.8,9.4,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Exploit code is available,No,Microsoft SQL Server Unsupported Version detected on 10.30.14.33:1433.,Yes,tcp/1433,Database
10.30.15.34,asset-014.corp.local,ASSET-014,Ubuntu 22.04,Active,300134,OpenSSL Security Update Available,Confirmed Vulnerability,4,443,tcp,asset-014.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95134,7.5,7.5,8.1,8.1,8.0,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Exploit code is available,No,OpenSSL Security Update Available detected on 10.30.15.34:443.,Yes,tcp/443,SSL
10.30.16.35,asset-015.corp.local,ASSET-015,RHEL 8,Active,300135,Remote Desktop Weak Encryption Enabled,Confirmed Vulnerability,3,3389,tcp,asset-015.corp.local,No,,https://www.qualys.com/research/security-alerts/,95135,5.0,5.0,6.5,6.5,6.2,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Remote Desktop Weak Encryption Enabled detected on 10.30.16.35:3389.,No,tcp/3389,Windows
10.30.17.36,asset-016.corp.local,ASSET-016,Network Appliance,Active,300136,Nginx Security Update Available,Confirmed Vulnerability,2,443,tcp,asset-016.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95136,2.6,2.6,3.7,3.7,3.5,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",No known exploit,No,Nginx Security Update Available detected on 10.30.17.36:443.,No,tcp/443,Web Server
10.30.18.37,asset-017.corp.local,ASSET-017,Windows Server 2019,Active,300137,SMB Signing Not Required,Confirmed Vulnerability,5,445,tcp,asset-017.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95137,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,Exploit code is available,No,SMB Signing Not Required detected on 10.30.18.37:445.,Yes,tcp/445,Windows
